episode,steps,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,action_count1,action_count2,action_count3,action_count4,action_count5,action_count6,mean_wg,median_wg,max_wg,min_wg
100,17918,-58.8,-58.6,-58.2,-1.97501419921,-4.63333,-0.751667807537,-0.746116395901,36,28,24,21,16,33,23,2.72805e-05,2.36271e-06,0.000437888,4.66191e-09
200,36018,-58.7,-58.8,-59.9,-2.99076327961,-8.7662,-0.751068256559,-0.745430753139,59,20,17,25,12,21,27,4.00533e-05,2.7568e-06,0.000650019,3.72629e-10
300,54118,-59.6,-60.9,-62.8,-3.75490313999,-11.848,-0.749924143035,-0.741816498473,76,24,17,19,19,12,14,2.48772e-05,1.91218e-06,0.00057167,0.0
400,72218,-59.5,-58.8,-60.4,-4.29045504365,-14.033,-0.752532606348,-0.736388068471,76,15,34,15,17,13,11,8.91653e-05,6.72839e-06,0.00169923,5.04925e-10
500,90318,-57.5,-59.9,-61.9,-4.57971391098,-15.2078,-0.747907186905,-0.736095478923,16,94,11,14,20,11,15,3.75793e-05,2.98902e-06,0.000665691,0.0
600,108418,-56.8,-57.8,-55.5,-4.89807470332,-16.5357,-0.751727637758,-0.738866569865,119,9,11,9,12,11,10,5.50208e-05,3.78552e-06,0.000905279,1.5601e-10
700,126518,-54.5,-53.9,-55.0,-5.00927834484,-16.9849,-0.75068292348,-0.743006953579,119,13,10,8,11,10,10,5.06994e-05,3.77478e-06,0.00105666,0.0
800,144618,-54.4,-53.8,-53.9,-5.04822082414,-17.1573,-0.750111811995,-0.745391368495,139,4,9,6,6,7,10,2.41875e-05,1.93317e-06,0.000348038,0.0
900,162718,-52.8,-52.3,-52.9,-5.07567385152,-17.2878,-0.749255360583,-0.736391766398,141,10,7,4,6,6,7,6.22491e-05,4.83579e-06,0.000745328,0.0
1000,180818,-52.2,-51.7,-52.4,-5.12032812867,-17.4787,-0.752130267339,-0.746080481473,162,3,3,5,2,5,1,3.02974e-05,2.27925e-06,0.000490311,0.0
1100,198918,-51.4,-51.7,-52.3,-4.84527370284,-16.332,-0.750739153577,-0.748418305244,179,1,1,1.10226e-05,1.02328e-06,0.000137916,0.0
1200,217018,-51.1,-50.7,-50.5,-4.77107399472,-16.0161,-0.752191719259,-0.747940000872,179,1,1,1.78996e-05,1.36431e-06,0.000307507,0.0
1300,235118,-50.7,-50.5,-50.3,-4.92771494323,-16.6334,-0.752035392474,-0.746311417974,181,1.53974e-05,1.19843e-06,0.000254018,0.0
1400,253218,-50.6,-50.8,-51.3,-4.74935354581,-15.9654,-0.75199406523,-0.746502848821,179,1,1,1.58426e-05,1.23502e-06,0.0002086,0.0
1500,271318,-50.8,-50.6,-48.8,-4.81858637056,-16.2484,-0.750631617984,-0.747460295063,179,1,1,9.5314e-06,7.07179e-07,0.00014034,0.0
1600,289418,-51.5,-51.0,-51.7,-4.83934835571,-16.3134,-0.751452241057,-0.746223237479,178,1,1,1,1.68344e-05,1.26979e-06,0.000241634,0.0
1700,307518,-50.5,-50.7,-50.4,-4.81573360401,-16.2146,-0.750998269324,-0.746904272625,179,1,1,1.56253e-05,1.18781e-06,0.000163089,0.0
1800,325618,-50.5,-50.0,-49.2,-4.77483356855,-16.0707,-0.75114862273,-0.749580693996,181,6.82227e-06,6.31514e-07,0.000101216,0.0
1900,343718,-50.9,-50.8,-49.9,-4.801442062,-16.1839,-0.751169698843,-0.748641664185,178,1,1,1,9.79622e-06,7.49718e-07,0.000119652,0.0
2000,361818,-50.7,-51.1,-53.2,-4.88592275335,-16.5096,-0.751653332873,-0.749342794538,179,1,1,8.33464e-06,7.8799e-07,9.05966e-05,0.0
2100,379918,-50.7,-51.4,-51.8,-4.69802330607,-15.7068,-0.751988368912,-0.748932955173,181,5.46781e-06,4.81791e-07,6.55992e-05,0.0
2200,398018,-50.3,-50.5,-51.0,-4.72358708882,-15.8589,-0.751404916739,-0.749754325009,181,6.42952e-06,4.77513e-07,9.9516e-05,0.0
2300,416118,-50.6,-50.8,-51.1,-4.81840690065,-16.2636,-0.750997003708,-0.748623125474,180,1,5.45753e-06,5.56683e-07,7.64258e-05,0.0
2400,434218,-51.2,-51.2,-51.1,-4.75046027695,-15.9587,-0.752154215319,-0.747947447349,181,8.12714e-06,8.28715e-07,0.000116134,0.0
2500,452318,-50.8,-50.8,-50.0,-4.70837933451,-15.7668,-0.751055005881,-0.749748450409,179,1,1,2.29539e-06,2.70172e-07,3.11263e-05,0.0
2600,470418,-50.8,-50.9,-52.0,-4.76793051029,-16.0497,-0.751315291544,-0.74980957027,179,1,1,3.44117e-06,4.07101e-07,6.17772e-05,0.0
2700,488518,-50.6,-51.0,-51.4,-4.79766750863,-16.106,-0.751064298824,-0.749485109174,180,1,2.79099e-06,2.87768e-07,5.78477e-05,0.0
2800,506618,-51.0,-50.7,-48.9,-4.71123698535,-15.7903,-0.752635471667,-0.747891178177,181,5.12858e-06,4.98885e-07,0.000105615,0.0
2900,524718,-50.8,-50.4,-50.1,-4.79117319729,-16.0909,-0.751267322602,-0.747466199674,180,1,7.8655e-06,7.41421e-07,0.000162737,0.0
3000,542818,-50.8,-50.7,-49.9,-4.81436070816,-16.2129,-0.752235160099,-0.749931962443,181,1.21946e-06,1.50126e-07,2.77739e-05,0.0
3100,560918,-50.6,-50.5,-50.1,-4.54291388475,-15.1142,-0.750951980611,-0.749166770226,180,1,4.89466e-06,3.97591e-07,0.000119811,0.0
3200,579018,-50.7,-50.9,-51.3,-4.65894510996,-15.5948,-0.751327714024,-0.749993435143,178,1,1,1,1.62489e-06,1.73697e-07,3.24139e-05,0.0
3300,597118,-50.5,-50.4,-51.1,-4.69477813679,-15.7254,-0.751509465071,-0.749786466417,179,1,1,2.04849e-06,2.21143e-07,4.82376e-05,0.0
3400,615218,-51.0,-51.2,-50.1,-4.68712954231,-15.7088,-0.75119881193,-0.749833775448,180,1,1.21717e-06,1.6349e-07,2.45398e-05,0.0
3500,633318,-51.0,-51.4,-51.4,-4.80734949481,-16.1934,-0.751498196372,-0.74950993554,181,2.36748e-06,3.50382e-07,4.6184e-05,0.0
3600,651418,-50.5,-50.5,-51.6,-4.7372226399,-15.9239,-0.751375859228,-0.749957293973,179,1,1,1.24694e-06,1.45643e-07,2.29977e-05,0.0
3700,669518,-50.7,-50.9,-52.4,-4.75918863096,-15.9618,-0.751053046764,-0.749012442265,181,2.54514e-06,2.39018e-07,5.53377e-05,0.0
3800,687618,-50.7,-50.5,-50.2,-4.61993119466,-15.4256,-0.750365680526,-0.747723227007,179,1,1,3.0494e-06,3.49995e-07,7.05419e-05,0.0
3900,705718,-51.2,-50.8,-48.2,-4.73301676755,-15.8829,-0.75083779803,-0.749662211506,178,1,1,1,1.58766e-06,2.18071e-07,4.70843e-05,0.0
