episode,steps,reward,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,action_count1,action_count2,mean_wg,median_wg,max_wg,min_wg
4000,723818,-0.0021,-50.1,-49.7,-50.0,-13.8763,-13.7292,-0.00150278,0.00157393,62,57,62,1.96119e-06,1.13621e-07,5.71811e-05,2.84566e-10
4100,741918,-0.0021,-50.3,-50.6,-51.5,-13.7304,-13.5823,-0.0016229,0.00112318,58,56,67,1.35427e-06,7.94982e-08,7.21324e-05,1.73618e-10
4200,760018,-0.0021,-49.8,-50.0,-49.4,-13.3962,-13.2586,0.000643032,0.00176592,49,61,71,1.42646e-06,8.90277e-08,5.15768e-05,2.25555e-10
4300,778118,-0.0169607902765,-50.6,-51.3,-49.1,-13.7252,-13.5797,0.00106844,0.0016254,63,53,65,9.11818e-07,6.29994e-08,4.97683e-05,1.32845e-10
4400,796218,-0.0092,-50.0,-50.7,-51.4,-13.8109,-13.6655,0.00186397,0.00219586,50,65,66,1.5271e-06,8.46546e-08,5.92918e-05,1.25812e-10
4500,814318,-0.0021,-49.1,-49.1,-48.8,-13.2337,-13.0832,-0.000604374,0.00191838,67,63,51,1.04812e-06,7.03266e-08,5.69898e-05,1.95676e-10
4600,832418,-0.0021,-50.2,-50.7,-52.1,-13.4077,-13.2592,0.00116038,0.00185665,64,56,61,1.06663e-06,6.69902e-08,4.46872e-05,1.85847e-10
4700,850518,-0.0021,-50.6,-50.8,-49.6,-13.613,-13.4764,-0.00107744,0.000936622,54,53,74,7.34201e-07,4.10194e-08,3.16998e-05,9.38135e-11
4800,868618,-0.0021,-51.1,-51.3,-49.8,-13.6285,-13.4844,-5.97919e-06,0.00161912,29,59,93,7.67869e-07,5.02429e-08,3.29933e-05,8.98302e-11
4900,886718,-0.0021,-49.8,-49.7,-50.3,-14.1373,-13.9919,0.003269,0.0017477,43,46,92,1.10057e-06,5.87974e-08,3.73466e-05,8.42616e-11
5000,904818,-0.0092,-51.1,-51.7,-51.6,-13.8757,-13.7269,-8.85186e-05,0.00116397,49,51,81,7.45489e-07,4.29718e-08,2.99658e-05,1.28145e-10
5100,922918,-0.0092,-49.8,-49.8,-47.6,-13.7646,-13.6288,-0.0011773,0.00111114,20,69,92,7.3873e-07,4.00279e-08,3.16666e-05,1.04786e-10
5200,941018,-0.0092,-51.2,-51.6,-50.6,-14.0216,-13.8842,0.0027164,0.0012163,47,64,70,7.33144e-07,4.52656e-08,2.44367e-05,8.492e-11
5300,959118,-0.063541387399,-50.3,-49.8,-49.7,-14.0084,-13.8707,0.00158573,0.00149425,34,56,91,5.74991e-07,4.09297e-08,2.05422e-05,1.03386e-10
5400,977218,-0.0021,-50.2,-49.8,-49.3,-13.7355,-13.5902,-0.00046394,0.00168937,26,52,103,5.18897e-07,3.73314e-08,1.48296e-05,1.40568e-10
5500,995318,-0.0092,-50.5,-51.2,-49.9,-13.859,-13.7077,-0.00130046,0.00277527,23,61,97,1.02877e-06,6.73522e-08,4.58614e-05,1.91269e-10
5600,1013418,-0.0021,-50.2,-49.6,-50.5,-13.8707,-13.7293,0.000787145,0.00171094,36,50,95,8.28675e-07,4.27613e-08,3.36591e-05,1.22743e-10
5700,1031518,-0.0021,-50.7,-51.0,-51.1,-13.9937,-13.8526,0.00276599,0.00135827,37,62,82,5.71059e-07,3.99284e-08,1.95143e-05,7.69993e-11
5800,1049618,-0.0021,-50.5,-50.5,-49.7,-13.7695,-13.6294,0.00125821,0.000705188,25,59,97,3.2541e-07,2.17963e-08,1.03149e-05,7.59049e-11
