episode,steps,reward,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,mean_wg,median_wg,max_wg,min_wg
164,29502,-0.0012,-11.1,-10.9,-10.3,-1.07991,-1.00551,-0.00847917,0.0121116,181,1.09631e-05,9.98575e-07,0.000154585,0.0
168,30226,-0.00446666666667,-10.8,-10.3,-7.8,-1.10803,-1.0576,-0.00148835,0.0131862,181,1.61413e-05,1.55124e-06,0.000243334,0.0
172,30950,-0.0022,-10.6,-10.0,-10.0,-1.03983,-0.996113,-0.00151824,0.0103674,181,8.46884e-06,8.83444e-07,0.000124869,0.0
176,31674,-0.0582333333333,-10.8,-9.6,-8.6,-1.07978,-1.01417,-0.00300491,0.00700888,181,7.58273e-06,7.35378e-07,0.000144041,0.0
180,32398,-0.0001,-10.7,-9.0,-8.1,-1.10082,-1.07331,-0.00372797,0.00860485,181,8.83373e-06,9.76543e-07,0.00014002,0.0
184,33122,-0.207833333333,-10.8,-9.4,-7.1,-1.1095,-1.05792,-0.00451234,0.00950701,181,6.37431e-06,6.76843e-07,0.000101385,0.0
188,33846,-0.0261,-10.8,-9.3,-9.5,-1.14482,-1.0923,-0.00160004,0.00699266,181,6.54567e-06,6.48308e-07,8.14325e-05,0.0
192,34570,-0.0892,-10.7,-9.5,-10.1,-1.1053,-1.06571,-0.0018087,0.0076055,181,9.45926e-06,1.07111e-06,0.000128235,0.0
196,35294,-0.0005,-11.0,-9.3,-9.6,-1.26597,-1.19597,0.00181567,0.00807041,181,7.28023e-06,8.24079e-07,0.000128091,0.0
200,36018,-0.0034,-10.9,-9.5,-11.7,-1.2377,-1.18894,0.00160731,0.0127972,181,9.91582e-06,1.05709e-06,0.000135829,0.0
204,36742,-0.0176666666667,-11.6,-10.7,-16.6,-1.51624,-1.38993,9.00663e-05,0.0150351,181,8.24914e-06,9.83054e-07,0.000101117,0.0
208,37466,-0.0008,-11.7,-10.7,-15.5,-1.35263,-1.25051,-0.00232992,0.0115247,181,1.20931e-05,1.20195e-06,0.00016615,0.0
212,38190,-0.0183666666667,-11.0,-11.6,-17.6,-1.35336,-1.27661,-0.00510242,0.0115618,181,8.78432e-06,1.00504e-06,0.000112518,0.0
216,38914,-0.218166666667,-11.0,-11.4,-12.7,-1.34389,-1.26308,-0.003466,0.0236527,181,1.70257e-05,2.40644e-06,0.000219931,0.0
220,39638,-0.001,-10.9,-11.6,-11.2,-1.49059,-1.42892,-0.000836746,0.00948832,181,7.92743e-06,7.53158e-07,0.000130838,0.0
224,40362,-0.0548333333333,-11.0,-11.6,-11.3,-1.45523,-1.40407,-0.00313312,0.0124374,181,7.24238e-06,9.68048e-07,0.000107673,0.0
228,41086,-0.0885,-10.3,-11.6,-9.1,-1.43933,-1.41518,-0.00322932,0.0156059,181,7.84547e-06,9.99368e-07,0.000105022,0.0
